"Название";"Цена";"Двигатель";"Комплектация";"Коробка передач";"Мощность";"Поколение";"Привод";"Пробег";"Руль";"Тип кузова";"Цвет";"Особые отметки";"url"
"Продажа Toyota RAV4, 1995 год в Иркутске";"625000.0";"бензин, 2.0 л";"2.0 L";"АКПП";"135 л.с.";"1 поколение";"4WD";"297052.0";"правый";"джип/suv 3 дв.";"зеленый";"";"https://auto.drom.ru/irkutsk/toyota/rav4/727293890.html"
"Продажа Toyota RAV4, 2020 год в Иркутске";"3190000.0";"бензин, 2.0 л";"2.0 CVT 4WD Комфорт";"вариатор";"149 л.с.";"5 поколение";"4WD";"115000.0";"левый";"джип/suv 5 дв.";"черный";"";"https://auto.drom.ru/irkutsk/toyota/rav4/643883821.html"
"Продажа Toyota RAV4, 2014 год в Иркутске";"2050000.0";"бензин, 2.0 л";"2.0 MT 2WD Классик";"механика";"146 л.с.";"4 поколение";"передний";"148000.0";"левый";"джип/suv 5 дв.";"золотистый";"";"https://auto.drom.ru/irkutsk/toyota/rav4/351234763.html"
"Продажа Toyota RAV4, 2021 год в Иркутске";"3800000.0";"бензин, 2.5 л";"2.5 AT 4WD Комфорт";"АКПП";"199 л.с.";"5 поколение";"4WD";"83000.0";"левый";"джип/suv 5 дв.";"белый";"";"https://auto.drom.ru/irkutsk/toyota/rav4/180849211.html"
"Продажа Toyota RAV4, 2018 год в Иркутске";"2800000.0";"бензин, 2.0 л";"2.0 CVT 2WD Комфорт Плюс";"вариатор";"146 л.с.";"4 поколение, рестайлинг";"передний";"111111.0";"левый";"джип/suv 5 дв.";"черный";"";"https://auto.drom.ru/irkutsk/toyota/rav4/901385242.html"
"Продажа Toyota RAV4, 2001 год в Иркутске";"1095000.0";"бензин, 1.8 л";"1.8 L X G package";"АКПП";"125 л.с.";"2 поколение";"передний";"134000.0";"правый";"джип/suv 5 дв.";"серебристый";"";"https://auto.drom.ru/irkutsk/toyota/rav4/425031521.html"
"Продажа Toyota RAV4, 2010 год в Иркутске";"1400000.0";"бензин, 2.4 л";"2.4 AT Long Престиж Плюс";"АКПП";"170 л.с.";"3 поколение, рестайлинг";"4WD";"447274.0";"левый";"джип/suv 5 дв.";"серый";"";"https://auto.drom.ru/irkutsk/toyota/rav4/261721815.html"
"Продажа Toyota RAV4, 2001 год в Иркутске";"745000.0";"бензин, 1.8 л";"";"АКПП";"125 л.с.";"2 поколение";"передний";"277032.0";"правый";"джип/suv 5 дв.";"золотистый";"";"https://auto.drom.ru/irkutsk/toyota/rav4/377156614.html"
"Продажа Toyota RAV4, 2010 год в Иркутске";"1860000.0";"бензин, 2.0 л";"";"вариатор";"158 л.с.";"3 поколение";"4WD";"69363.0";"левый";"джип/suv 5 дв.";"красный";"";"https://auto.drom.ru/irkutsk/toyota/rav4/120993547.html"
"Продажа Toyota RAV4, 2018 год в Иркутске";"3220000.0";"бензин, 2.5 л";"";"АКПП";"180 л.с.";"4 поколение, рестайлинг";"4WD";"116006.0";"левый";"джип/suv 5 дв.";"серый";"";"https://auto.drom.ru/irkutsk/toyota/rav4/130877024.html"
